iter	Logloss
0	0.6854374279
1	0.6806594394
2	0.6737410482
3	0.6668457424
4	0.6598386379
5	0.6536950916
6	0.6469722892
7	0.6421838651
8	0.6366672941
9	0.6325638097
10	0.6283792892
11	0.6245223899
12	0.6203841697
13	0.6174307028
14	0.6146135604
15	0.6109190939
16	0.6075306946
17	0.6033924881
18	0.6010164471
19	0.5978116745
20	0.5944876859
21	0.5912001987
22	0.5886234927
23	0.5870425422
24	0.5846149326
25	0.5821681343
26	0.5802704442
27	0.578148037
28	0.5760845174
29	0.5751117603
30	0.5732472813
31	0.5725894278
32	0.5710915994
33	0.570278582
34	0.5692163778
35	0.5683022167
36	0.5671039358
37	0.5664279833
38	0.5648825916
39	0.5641540918
40	0.5630775168
41	0.5618392683
42	0.5608524198
43	0.560367135
44	0.5590219811
45	0.5580756202
46	0.5574945791
47	0.5567184954
48	0.5563015184
49	0.5552365238
50	0.554501941
51	0.5540497333
52	0.5536044929
53	0.5532687963
54	0.5527989891
55	0.5518891052
56	0.5511496238
57	0.5505860785
58	0.5498334721
59	0.549254957
60	0.5487006017
61	0.5479393303
62	0.5473522781
63	0.546882019
64	0.5464992768
65	0.5460120347
66	0.5454145668
67	0.5449527709
68	0.5443854516
69	0.5438026764
70	0.5433777605
71	0.5432498748
72	0.5428863724
73	0.5425796828
74	0.5422063749
75	0.5420660064
76	0.541719106
77	0.5413004314
78	0.540926186
79	0.5407081367
80	0.5402030246
81	0.5399781066
82	0.5398062076
83	0.5396103679
84	0.5395415181
85	0.5392927541
86	0.5389350888
87	0.5388388877
88	0.5387169428
89	0.5384866277
90	0.5384039997
91	0.5380622931
92	0.5379755199
93	0.5376101556
94	0.5374276387
95	0.5370777303
96	0.5369713996
97	0.5367747825
98	0.5366350295
99	0.5364628791
100	0.5363928108
101	0.5361650351
102	0.5358486339
103	0.5357702179
104	0.5355926892
105	0.5353554668
106	0.5351366336
107	0.5349814718
108	0.5348919746
109	0.5348581777
110	0.5346947548
111	0.5345131644
112	0.5343709839
113	0.5343103023
114	0.5340930446
115	0.5339869087
116	0.5338422005
117	0.533739126
118	0.5335987021
119	0.5334646997
120	0.533353765
121	0.533178744
122	0.5331315589
123	0.5330264859
124	0.5328565076
125	0.5327786317
126	0.5327609897
127	0.5327058391
128	0.5325998679
129	0.5325107783
130	0.5324838505
131	0.5323080041
132	0.5321996157
133	0.5320937461
134	0.5320069938
135	0.5319382533
136	0.5318917923
137	0.531684142
138	0.5315298194
139	0.5314528608
140	0.5312492597
141	0.5312030224
142	0.5310540889
143	0.5309465362
144	0.5308935687
145	0.5308562923
146	0.5307915311
147	0.5306762095
148	0.530593236
149	0.5304728448
150	0.5303331449
151	0.53019235
152	0.5301816948
153	0.5300599376
154	0.5299579125
155	0.5299016313
156	0.529857735
157	0.5298274642
158	0.5297948238
159	0.5297751695
160	0.5296782619
161	0.5296782468
162	0.5296007816
163	0.5294780514
164	0.5294301156
165	0.5294052053
166	0.5293099188
167	0.52912864
168	0.5290911607
169	0.5290398394
170	0.5289675085
171	0.528925473
172	0.5289022782
173	0.5288173152
174	0.5287771963
175	0.5287673876
176	0.5287673664
177	0.5287166422
178	0.5286804461
179	0.5286804438
180	0.5286466151
181	0.5286351741
182	0.5285794778
183	0.5285168924
184	0.5284790093
185	0.528479009
186	0.528416911
187	0.5283646936
188	0.5283303467
189	0.5282753717
190	0.5282134339
191	0.5281626434
192	0.5281521029
193	0.5281049995
194	0.5280476432
195	0.5280372007
196	0.5280165339
197	0.5279876694
198	0.5279548837
199	0.5279548803
200	0.5278889516
201	0.5278539499
202	0.5278076106
203	0.5277787493
204	0.5277576209
205	0.527753283
206	0.5277376472
207	0.5277289095
208	0.5277051031
209	0.5276641363
210	0.527650079
211	0.5276077251
212	0.5275604766
213	0.5275250321
214	0.5274866123
215	0.5274526857
216	0.5274034906
217	0.5274034879
218	0.5273768333
219	0.5273340341
220	0.5273308311
221	0.5272878049
222	0.5272538329
223	0.5272538304
224	0.5271879997
225	0.527116584
226	0.5270502681
227	0.5270058781
228	0.5270058751
229	0.5269646852
230	0.5269442067
231	0.5269273934
232	0.5268789112
233	0.5268126832
234	0.5268115454
235	0.5268095807
236	0.5267903668
237	0.5267522271
238	0.5267522237
239	0.5267522235
240	0.5267085908
241	0.5266588244
242	0.526598574
243	0.5265668205
244	0.5265510591
245	0.526546317
246	0.5265279327
247	0.5264952981
248	0.5264876872
249	0.5264876856
250	0.5264876828
251	0.5264876811
252	0.5264696072
253	0.5264665098
254	0.5264433104
255	0.5263452787
256	0.5262924304
257	0.5262680289
258	0.5262470449
259	0.5262008613
260	0.5261815216
261	0.5261288979
262	0.5260849763
263	0.5260438959
264	0.5260289708
265	0.5260123405
266	0.5259920113
267	0.5259914697
268	0.5259667082
269	0.5259589105
270	0.5259326116
271	0.5259154462
272	0.525915446
273	0.5258959451
274	0.5258662226
275	0.5258618035
276	0.5258068281
277	0.5257921833
278	0.5257421372
279	0.5257208047
280	0.5257208035
281	0.5256853718
282	0.5256801218
283	0.5256675388
284	0.5256324277
285	0.5256128085
286	0.5255986252
287	0.5255415294
288	0.5255415288
289	0.5255375725
290	0.5254728792
291	0.5254716702
292	0.525458705
293	0.5254167943
294	0.5254089325
295	0.5254069915
296	0.5253716312
297	0.5253218435
298	0.5252775124
299	0.5252650356
300	0.5252504782
301	0.5252386766
302	0.5252252742
303	0.5252243927
304	0.525223246
305	0.5252155398
306	0.5252146977
307	0.5251782309
308	0.5251339274
309	0.5251339272
310	0.5251075991
311	0.5250864178
312	0.5250854714
313	0.5250429522
314	0.5250101477
315	0.5249649152
316	0.5249137783
317	0.5248727435
318	0.5248727435
319	0.5248593561
320	0.5248584082
321	0.5248230734
322	0.5248042141
323	0.5248042138
324	0.5247610071
325	0.5247605785
326	0.5247385397
327	0.5247319984
328	0.5247114898
329	0.5247113252
330	0.5247065271
331	0.5246742041
332	0.5246319328
333	0.524604656
